Font: Microsoft YaHei  Style: Regular
Point Size: 1   SP/PD Ratio: 500.0%

Characters included: 1640/7198
Missing characters: 0
Excluded characters: 5558

Characters missing from font file:
----------------------------------------

Characters excluded from packing:
----------------------------------------
ID: 22432	Hex: 57A0	Char [垠]
ID: 25327	Hex: 62EF	Char [拯]
ID: 25334	Hex: 62F6	Char [拶]
ID: 26576	Hex: 67D0	Char [某]
ID: 29978	Hex: 751A	Char [甚]
ID: 33606	Hex: 8346	Char [荆]
ID: 33592	Hex: 8338	Char [茸]
ID: 38761	Hex: 9769	Char [革]
ID: 33564	Hex: 831C	Char [茜]
ID: 33580	Hex: 832C	Char [茬]
ID: 33616	Hex: 8350	Char [荐]
ID: 33625	Hex: 8359	Char [荙]
ID: 24055	Hex: 5DF7	Char [巷]
ID: 33626	Hex: 835A	Char [荚]
ID: 33617	Hex: 8351	Char [荑]
ID: 36147	Hex: 8D33	Char [贳]
ID: 33627	Hex: 835B	Char [荛]
ID: 33628	Hex: 835C	Char [荜]
ID: 33544	Hex: 8308	Char [茈]
ID: 24102	Hex: 5E26	Char [带]
ID: 33609	Hex: 8349	Char [草]
ID: 33575	Hex: 8327	Char [茧]
ID: 33596	Hex: 833C	Char [茼]
ID: 33682	Hex: 8392	Char [莒]
ID: 33589	Hex: 8335	Char [茵]
ID: 33588	Hex: 8334	Char [茴]
ID: 33585	Hex: 8331	Char [茱]
ID: 33691	Hex: 839B	Char [莛]
ID: 33630	Hex: 835E	Char [荞]
ID: 33583	Hex: 832F	Char [茯]
ID: 33615	Hex: 834F	Char [荏]
ID: 33607	Hex: 8347	Char [荇]
ID: 33603	Hex: 8343	Char [荃]
ID: 33631	Hex: 835F	Char [荟]
ID: 33590	Hex: 8336	Char [茶]
ID: 33600	Hex: 8340	Char [荀]
ID: 33559	Hex: 8317	Char [茗]
ID: 33632	Hex: 8360	Char [荠]
ID: 33581	Hex: 832D	Char [茭]
ID: 33576	Hex: 8328	Char [茨]
ID: 33618	Hex: 8352	Char [荒]
ID: 22441	Hex: 57A9	Char [垩]
ID: 33587	Hex: 8333	Char [茳]
ID: 33579	Hex: 832B	Char [茫]
ID: 33633	Hex: 8361	Char [荡]
ID: 33635	Hex: 8363	Char [荣]
ID: 33636	Hex: 8364	Char [荤]
ID: 33637	Hex: 8365	Char [荥]
ID: 33638	Hex: 8366	Char [荦]
ID: 33639	Hex: 8367	Char [荧]
ID: 33640	Hex: 8368	Char [荨]
ID: 33563	Hex: 831B	Char [茛]
ID: 25925	Hex: 6545	Char [故]
ID: 33641	Hex: 8369	Char [荩]
ID: 32993	Hex: 80E1	Char [胡]
ID: 33642	Hex: 836A	Char [荪]
ID: 33643	Hex: 836B	Char [荫]
ID: 33593	Hex: 8339	Char [茹]
ID: 33620	Hex: 8354	Char [荔]
ID: 21335	Hex: 5357	Char [南]
ID: 33644	Hex: 836C	Char [荬]
ID: 33645	Hex: 836D	Char [荭]
ID: 33647	Hex: 836F	Char [药]
ID: 26608	Hex: 67F0	Char [柰]
ID: 26631	Hex: 6807	Char [标]
ID: 26632	Hex: 6808	Char [栈]
ID: 26577	Hex: 67D1	Char [柑]
ID: 26543	Hex: 67AF	Char [枯]
ID: 26633	Hex: 6809	Char [栉]
ID: 26607	Hex: 67EF	Char [柯]
ID: 26564	Hex: 67C4	Char [柄]
ID: 26584	Hex: 67D8	Char [柘]
ID: 26634	Hex: 680A	Char [栊]
ID: 26601	Hex: 67E9	Char [柩]
ID: 26544	Hex: 67B0	Char [枰]
ID: 26635	Hex: 680B	Char [栋]
ID: 26636	Hex: 680C	Char [栌]
ID: 30456	Hex: 76F8	Char [相]
ID: 26597	Hex: 67E5	Char [查]
ID: 26585	Hex: 67D9	Char [柙]
ID: 26549	Hex: 67B5	Char [枵]
ID: 26586	Hex: 67DA	Char [柚]
ID: 26547	Hex: 67B3	Char [枳]
ID: 26590	Hex: 67DE	Char [柞]
ID: 26575	Hex: 67CF	Char [柏]
ID: 26589	Hex: 67DD	Char [柝]
ID: 26624	Hex: 6800	Char [栀]
ID: 26563	Hex: 67C3	Char [柃]
ID: 26594	Hex: 67E2	Char [柢]
ID: 26638	Hex: 680E	Char [栎]
ID: 26552	Hex: 67B8	Char [枸]
ID: 26629	Hex: 6805	Char [栅]
ID: 26611	Hex: 67F3	Char [柳]
ID: 26609	Hex: 67F1	Char [柱]
ID: 26623	Hex: 67FF	Char [柿]
ID: 26639	Hex: 680F	Char [栏]
ID: 26568	Hex: 67C8	Char [柈]
ID: 26592	Hex: 67E0	Char [柠]
ID: 26561	Hex: 67C1	Char [柁]
ID: 26551	Hex: 67B7	Char [枷]
ID: 26621	Hex: 67FD	Char [柽]
ID: 26641	Hex: 6811	Char [树]
ID: 21187	Hex: 52C3	Char [勃]
ID: 21068	Hex: 524C	Char [剌]
ID: 37082	Hex: 90DA	Char [郚]
ID: 21061	Hex: 5245	Char [剅]
ID: 35201	Hex: 8981	Char [要]
ID: 37194	Hex: 914A	Char [酊]
ID: 37094	Hex: 90E6	Char [郦]
ID: 26604	Hex: 67EC	Char [柬]
ID: 21688	Hex: 54B8	Char [咸]
ID: 23041	Hex: 5A01	Char [威]
ID: 27498	Hex: 6B6A	Char [歪]
ID: 29997	Hex: 752D	Char [甭]
ID: 30740	Hex: 7814	Char [研]
ID: 30742	Hex: 7816	Char [砖]
ID: 21400	Hex: 5398	Char [厘]
ID: 30743	Hex: 7817	Char [砗]
ID: 21402	Hex: 539A	Char [厚]
ID: 30737	Hex: 7811	Char [砑]
ID: 30744	Hex: 7818	Char [砘]
ID: 30738	Hex: 7812	Char [砒]
ID: 30732	Hex: 780C	Char [砌]
ID: 30722	Hex: 7802	Char [砂]
ID: 27893	Hex: 6CF5	Char [泵]
ID: 30746	Hex: 781A	Char [砚]
ID: 26027	Hex: 65AB	Char [斫]
ID: 30765	Hex: 782D	Char [砭]
ID: 30748	Hex: 781C	Char [砜]
ID: 30733	Hex: 780D	Char [砍]
ID: 38754	Hex: 9762	Char [面]
ID: 32784	Hex: 8010	Char [耐]
ID: 32781	Hex: 800D	Char [耍]
ID: 22862	Hex: 594E	Char [奎]
ID: 32823	Hex: 8037	Char [耷]
ID: 29301	Hex: 7275	Char [牵]
ID: 40485	Hex: 9E25	Char [鸥]
ID: 34426	Hex: 867A	Char [虺]
ID: 27531	Hex: 6B8B	Char [残]
ID: 27522	Hex: 6B82	Char [殂]
ID: 27523	Hex: 6B83	Char [殃]
ID: 27527	Hex: 6B87	Char [殇]
ID: 27524	Hex: 6B84	Char [殄]
ID: 27526	Hex: 6B86	Char [殆]
ID: 36721	Hex: 8F71	Char [轱]
ID: 36722	Hex: 8F72	Char [轲]
